******************PageRank******************
The pages as per their docID and scores are : 
('Carbon_dioxide', 0.007466519743597232)
('National_Diet_Library', 0.005968886288836215)
('Digital_object_identifier', 0.004858982472603308)
('United_States', 0.00424169393413263)
('Oxygen', 0.004131486314213715)
('Water', 0.003479887159874084)
('Hydrogen', 0.003469064535262417)
('Climate_change', 0.0032943867919630796)
('Carbon', 0.003054518646406285)
('Nitrogen', 0.002997334358535441)
('Global_warming', 0.0029113962285435245)
('Density', 0.002767925874532166)
('Greenhouse_gas', 0.0027673059128342477)
('Methane', 0.002492423117705177)
('Pressure', 0.0024133207935498916)
('India', 0.0022738696299489437)
('Gas', 0.0022133115056790606)
('Sodium', 0.002205965625633127)
('Carbon_monoxide', 0.0021997325727835483)
('Iron', 0.0021974429602327544)
('Melting_point', 0.002190992191589678)
('Australia', 0.0021876798784125928)
('Chlorine', 0.002187152477462581)
('Sulfur', 0.002173114946604184)
('PH', 0.002102795591661373)
('Magnesium', 0.0020773120857556313)
('Renewable_energy', 0.002074122888820903)
('Italy', 0.002054623665059383)
('Energy', 0.0020507351855941873)
('Mercury_(element)', 0.002032762513252876)
('Earth', 0.001996595018300641)
('Potassium', 0.001988792939162827)
('Calcium', 0.0019867268799598752)
('Fossil_fuel', 0.0019621823754640464)
('Biodiversity', 0.00195548028171623)
('Copper', 0.0019485352723003439)
('Metabolism', 0.0019384262577130807)
('Phosphorus', 0.001921915413475781)
('Sustainability', 0.0019204100722016455)
('Ethanol', 0.0019076001301839825)
('Sustainable_development', 0.0019049712235405384)
('Deforestation', 0.0018703753585837515)
('Chemical_formula', 0.0018639187241168333)
('Lead', 0.001856958294826137)
('Aluminium', 0.0018521762493539946)
('Standard_conditions_for_temperature_and_pressure', 0.0018511431392771514)
('Molecule', 0.0018347689852554936)
('Tin', 0.001830215614776516)
('Zinc', 0.0018224484844704836)
('Enzyme', 0.0018191887159581743)
