******************PageRank******************
The pages as per their docID and scores are : 
('National_Diet_Library', 0.008905363555068444)
('Carbon_dioxide', 0.00871885367676179)
('Digital_object_identifier', 0.007203595220928913)
('Oxygen', 0.006012785902343368)
('United_States', 0.005764545143390713)
('Hydrogen', 0.005470291901841843)
('Water', 0.004921698606756311)
('Carbon', 0.004702097724051417)
('Nitrogen', 0.00465757160431005)
('Climate_change', 0.004482986725653937)
('Pressure', 0.004445719818523152)
('Density', 0.004247454386215942)
('Global_warming', 0.003990083312975786)
('Iron', 0.003517395803766249)
('Sulfur', 0.0034979404802414032)
('Sodium', 0.0034685643720136533)
('Chlorine', 0.0034252173011311954)
('Melting_point', 0.0034173240608972974)
('Mercury_(element)', 0.0033689442905600743)
('Magnesium', 0.00335108867536821)
('Standard_conditions_for_temperature_and_pressure', 0.0033073007576952)
('Greenhouse_gas', 0.0032219886700459357)
('Copper', 0.003173250560103405)
('Australia', 0.0031436362068317904)
('Methane', 0.0031299246102900755)
('Potassium', 0.0031050197555993367)
('Phosphorus', 0.0030643812878380057)
('Helium', 0.0030211636908646687)
('Tin', 0.0030209150569293556)
('Bar_(unit)', 0.003009481132742781)
('Lead', 0.003007805035923351)
('India', 0.0030077833472563482)
('Zinc', 0.002988761494690266)
('Calcium', 0.002978671892619185)
('Atmosphere_(unit)', 0.002962092780464079)
('Aluminium', 0.00294951219627048)
('Nickel', 0.002799488894990892)
('Uranium', 0.0027902623095504174)
('Molecule', 0.0027488289256066252)
('Chromium', 0.0027450968807744606)
('Titanium', 0.0027292473490897716)
('Energy', 0.0027235581204355756)
('Xenon', 0.0027127228688628123)
('Beryllium', 0.0026876466585729155)
('Carbon_monoxide', 0.002673743938034215)
('Argon', 0.002657347877559187)
('Renewable_energy', 0.0026501053519881993)
('Earth', 0.0026475821364238933)
('Oxidation_state', 0.0026323146397720563)
('Fossil_fuel', 0.0026263249892097933)
